# PRIMARY KEY NOTE: The combination of country and school_id forms a unique primary key for each row. None of these identifiers can contain missing values (NAs).
year,target_name,source_col,transformation,na_values,description,type,note
2006,fund_donation,SC03Q03,as.numeric,9997;9998;9999,"Percentage of School year funding comes from: Benefactors, donations, bequests",numeric,
2006,enrol_boys,SC01Q01,as.numeric,9997;9998;9999,Number of boys,numeric,
2006,enrol_girls,SC01Q02,as.numeric,9997;9998;9999,Number of girls,numeric,
2006,staff_shortage,TCSHORT,as.numeric,997;998;999,Teacher/staff shortage,numeric,
2006,stratio,STRATIO,as.numeric,9997;9998;9999,Student-teacher ratio,numeric,
2006,school_size,SCHSIZE,as.numeric,99997;99998;99999,School size,numeric,
2006,sch_wgt,W_FSCHWT,as.numeric,,School weight,numeric,
2003,country,CNT,as.character,,Country three character,character,
2003,school_id,SCHOOLID,as.character,,school ID,character,
2003,public_private,SC03Q01,public_private,,public/private,factor,
2003,fund_gov,SC04Q01,as.numeric,997;998;999,Percentage of School year funding comes from: Government,numeric,
2003,fund_fees,SC04Q02,as.numeric,997;998;999,Percentage of School year funding comes from: Student fees or School charges paid by parents or Guardians,numeric,
2003,fund_donation,SC04Q03,as.numeric,997;998;999,"Percentage of School year funding comes from: Benefactors, donations, bequests",numeric,
2003,enrol_boys,SC02Q01,as.numeric,,Number of boys,numeric,
2003,enrol_girls,SC02Q02,as.numeric,,Number of girls,numeric,
2003,staff_shortage,TCSHORT,as.numeric,997;998;999,Teacher/staff shortage,numeric,
2003,stratio,STRATIO,as.numeric,997;998;999,Student-teacher ratio,numeric,
2003,school_size,SCHLSIZE,as.numeric,99997;99998;99999,School size,numeric,
2003,sch_wgt,SCWEIGHT,as.numeric,,School weight,numeric,
2000,country,country,as.character,,Country three character,character,
2000,school_id,schoolid,as.character,,school ID,character,
2000,public_private,sc03q01,public_private,7;8;9,public/private,factor,
2000,fund_gov,sc04q01,as.numeric,997;999,Percentage of School year funding comes from: Government,numeric,
2000,fund_fees,sc04q02,as.numeric,997;999,Percentage of School year funding comes from: Student fees or School charges paid by parents or Guardians,numeric,
2000,fund_donation,sc04q03,as.numeric,997;999,"Percentage of School year funding comes from: Benefactors, donations, bequests",numeric,
2000,enrol_boys,sc02q01,as.numeric,9997;9999,Number of boys,numeric,
2000,enrol_girls,sc02q02,as.numeric,9997;9999,Number of girls,numeric,
2000,staff_shortage,tcshort,as.numeric,97,Teacher/staff shortage,numeric,
2000,stratio,stratio,as.numeric,97;99,Student-teacher ratio,numeric,
2000,school_size,schlsize,as.numeric,99997;99999,School size,numeric,
2000,sch_wgt,wnrschbw,as.numeric,,School weight,numeric,
